"step","controlDisplacement_m","baseShear_kN","forceResidual","momentResidual","tolerance"
"0","2.8515486152700264E-05","0","3.683400163051771E-19","1.9737298215558347E-16","1E-07"
"1","0.0005142577430763502","6.794487061452809","1.4802973661668758E-16","1.8429950355882298E-16","1E-07"
"2","0.001","13.588983434118846","1.480297366166876E-16","1.7285032770014723E-16","1E-07"
